cinema_id;cinema_name;movie_id;movie_title;show_date;start_time
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;10:30
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;12:55
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;15:20
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;17:45
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;20:10
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-17;22:35
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-17;11:25
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-17;13:25
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-17;14:45
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-17;10:20
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-17;12:35
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-17;15:40
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-17;14:45
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-17;17:50
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-17;22:30
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-17;11:25
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-17;15:25
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-17;20:05
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-17;22:20
37;Cinéma Pathé Tunis City;285;Marche ou crève;2025-10-17;10:05
37;Cinéma Pathé Tunis City;285;Marche ou crève;2025-10-17;17:10
37;Cinéma Pathé Tunis City;285;Marche ou crève;2025-10-17;22:00
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-17;11:45
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-17;15:05
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-17;16:45
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-17;18:25
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-17;20:20
37;Cinéma Pathé Tunis City;261;Demon Slayer: Kimetsu no Yaiba La Forteresse;2025-10-17;15:55
37;Cinéma Pathé Tunis City;261;Demon Slayer: Kimetsu no Yaiba La Forteresse;2025-10-17;19:30
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-17;12:30
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-17;15:15
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-17;19:35
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-17;21:45
